chr1	x1	x2	chr2	y1	y2	color	o	e_bl	e_donut	e_h	e_v	fdr_bl	fdr_donut	fdr_h	fdr_v	num_collapsed	centroid1	centroid2	radius
16	84540000	84550000	16	84640000	84650000	255,255,0	419	161.028	128.051	182.691	118.652	6.39551862023e-38	1.02345304047e-60	2.33057439126e-37	3.74473033044e-87	5	84543000	84649000	16124.5154966
16	57000000	57010000	16	57070000	57080000	255,255,0	415	192.244	194.148	227.999	219.951	1.09549019482e-36	1.68176758528e-18	2.00796795797e-18	2.23271666731e-18	6	57001666	57081666	14907.11985
1	181050000	181060000	1	181100000	181110000	255,255,0	413	196.604	200.972	191.281	223.833	2.0439903137e-18	4.34153428477e-18	1.67271659934e-35	5.78444805218e-18	5	181055000	181115000	10000.0
7	99950000	99960000	7	100000000	100010000	255,255,0	412	226.925	216.237	213.82	232.608	3.24655865402e-18	6.7253620265e-18	8.31295453228e-18	9.02088396669e-18	3	99958333	100011666	7453.559925
1	25290000	25300000	1	25350000	25360000	255,255,0	412	191.219	193.862	216.405	223.386	9.11353460633e-36	6.7253620265e-18	8.31295453228e-18	9.02088396669e-18	7	25286428	25357857	15452.3626091
17	73900000	73910000	17	74000000	74010000	255,255,0	410	146.411	140.889	166.347	157.381	8.92542926168e-57	4.8311089652e-57	1.34322236846e-34	8.58099516258e-35	5	73905000	74005000	10000.0
13	99950000	99960000	13	100000000	100010000	255,255,0	409	211.134	261.771	258.874	254.289	1.33365217207e-17	2.95711482867e-05	2.22060841666e-05	1.90980332685e-05	6	99950000	100018333	16414.763003
11	65180000	65190000	11	65270000	65280000	255,255,0	409	169.742	173.527	184.821	226.748	7.25820019901e-35	1.01544246434e-34	2.49947014567e-34	3.70827570701e-17	5	65187000	65277000	14422.2051019
1	45970000	45980000	1	46030000	46040000	255,255,0	409	154.981	136.979	158.554	151.549	7.25820019901e-35	1.16180658769e-56	2.49947014567e-34	1.28025099978e-55	5	45979000	46037000	12649.1106407
1	160690000	160700000	1	160740000	160750000	255,255,0	408	220.836	219.683	218.561	238.016	2.0246011672e-17	4.24012179703e-17	5.49423786917e-17	5.6404762601e-17	2	160700000	160750000	7071.06781187
20	24970000	24980000	20	25040000	25050000	255,255,0	407	123.181	120.738	147.779	141.279	1.17025302504e-55	1.30003356734e-80	2.35358246157e-55	5.49356101389e-55	7	24977857	25045000	12857.1428571
16	57330000	57340000	16	57440000	57450000	255,255,0	407	147.328	142.684	182.462	171.449	1.17025302504e-55	6.73017615987e-56	9.06342445415e-34	6.67776544273e-34	6	57338333	57450000	15365.9074288
2	85640000	85650000	2	85780000	85790000	255,255,0	406	152.42	146.351	170.717	164.618	2.46509073938e-55	1.54656483259e-55	1.64374253756e-33	1.30645750323e-33	13	85651153	85774230	37723.6918007
17	47640000	47650000	17	47770000	47780000	255,255,0	405	121.166	96.5179	109.66	115.216	4.23848669147e-80	8.42861287309e-109	7.36024186126e-80	3.71342190959e-80	13	47651153	47768846	19581.4185559
22	41790000	41800000	22	41920000	41930000	255,255,0	404	140.324	136.483	185.583	154.336	1.44326261814e-54	9.38290965203e-55	6.37310371947e-33	5.09806513564e-33	13	41798846	41915769	21122.3541811
11	72890000	72900000	11	72940000	72950000	255,255,0	404	198.085	192.963	198.513	204.394	1.26307990349e-16	2.63230097534e-16	3.33813974494e-16	3.40944264272e-16	2	72895000	72950000	5000.0
1	200940000	200950000	1	201010000	201020000	255,255,0	404	153.524	163.721	202.576	195.71	2.17549645045e-33	3.04358024888e-33	3.33813974494e-16	3.40944264272e-16	6	200946666	201010000	17159.3835683
11	72290000	72300000	11	72350000	72360000	255,255,0	399	186.959	215.554	254.299	231.48	6.17368591861e-32	2.38034172622e-15	0.000201223025584	3.22100487809e-15	3	72298333	72358333	7453.559925
1	24520000	24530000	1	24710000	24720000	255,255,0	399	102.007	95.6599	102.314	120.268	3.09442870424e-77	2.18378483333e-105	4.77649382244e-77	2.89182945e-77	11	24529545	24716818	19455.3950537
22	23190000	23200000	22	23280000	23290000	255,255,0	398	114.27	124.305	133.168	200.0	6.43816810923e-77	2.16240026153e-52	7.05790566086e-52	4.88929778596e-15	4	23187500	23287500	23717.0824513
15	75330000	75340000	15	75490000	75500000	255,255,0	398	121.033	117.627	138.144	155.063	6.43816810923e-77	1.99609586782e-76	7.05790566086e-52	2.80069459187e-31	4	75330000	75495000	15000.0
6	137420000	137430000	6	137480000	137490000	255,255,0	398	183.272	183.059	212.261	200.084	1.192926695e-31	1.73312765206e-31	4.80879556096e-15	4.88929778596e-15	5	137423000	137485000	12806.2484749
12	113480000	113490000	12	113530000	113540000	255,255,0	397	152.663	161.003	166.499	166.829	6.97133454166e-52	3.33936330857e-31	6.72290799007e-31	5.26097506098e-31	4	113480000	113540000	7071.06781187
8	28220000	28230000	8	28270000	28280000	255,255,0	397	143.056	152.779	183.603	142.923	6.97133454166e-52	4.93445524169e-52	6.72290799007e-31	3.1416755864e-51	5	28215000	28275000	10000.0
6	37010000	37020000	6	37140000	37150000	255,255,0	397	133.109	151.171	188.856	169.935	6.97133454166e-52	4.93445524169e-52	6.72290799007e-31	5.26097506098e-31	19	37005526	37156052	32465.6221332
21	26870000	26880000	21	26930000	26940000	255,255,0	396	187.092	173.162	167.09	212.432	4.50580096525e-31	6.42047725024e-31	1.28138452526e-30	1.17147703953e-14	5	26867000	26937000	32062.4390838
7	101920000	101930000	7	102030000	102040000	255,255,0	396	104.1	86.9646	134.853	91.2677	5.33456466706e-76	9.87263125135e-104	3.87223041205e-51	4.13314833197e-103	5	101923000	102029000	12649.1106407
2	42090000	42100000	2	42310000	42320000	255,255,0	393	104.38	78.9757	101.733	102.562	1.37668489046e-74	4.65421669069e-102	3.18753193395e-74	2.14425035557e-74	10	42096000	42306000	22847.3193176
11	111150000	111160000	11	111290000	111300000	255,255,0	392	90.9322	102.247	132.839	134.071	9.16095041599e-101	1.16630793391e-73	1.2692530878e-49	2.32775576721e-49	13	111154230	111308076	24543.1632824
1	101770000	101780000	1	101820000	101830000	255,255,0	392	197.86	194.306	221.709	200.757	2.36665418227e-14	4.85147311372e-14	6.27459420174e-14	6.43868172832e-14	3	101771666	101828333	7453.559925
3	53160000	53170000	3	53230000	53240000	255,255,0	391	166.502	176.6	207.16	216.539	1.22941692215e-29	1.68981334685e-29	9.52724940752e-14	9.76552672227e-14	9	53160555	53228333	16923.9402352
2	86050000	86060000	2	86300000	86310000	255,255,0	391	131.546	108.391	146.032	130.343	1.34158839806e-49	2.6821525263e-73	2.83307609517e-49	4.85835441909e-49	7	86053571	86306428	18626.2925863
15	42280000	42290000	15	42340000	42350000	255,255,0	390	143.506	150.926	183.219	152.874	2.79297474672e-49	2.32629593017e-49	6.35381183174e-29	8.26003216178e-49	7	42282142	42349285	17261.494248
7	105690000	105700000	7	105790000	105800000	255,255,0	390	123.478	103.481	141.999	124.458	2.79297474672e-49	6.56260849706e-73	5.89801611341e-49	8.26003216178e-49	7	105695000	105797857	12857.1428571
1	26600000	26610000	1	26650000	26660000	255,255,0	390	183.003	182.863	193.139	179.309	2.25162376064e-29	3.09758307243e-29	1.40713963347e-13	5.08263289028e-29	1	26605000	26655000	0
1	155900000	155910000	1	155950000	155960000	255,255,0	390	190.601	183.691	193.071	180.723	2.25162376064e-29	3.09758307243e-29	1.40713963347e-13	5.08263289028e-29	3	155908333	155961666	7453.55992499
1	157060000	157070000	1	157120000	157130000	255,255,0	390	128.998	125.322	143.555	150.377	2.79297474672e-49	2.32629593017e-49	5.89801611341e-49	8.26003216178e-49	5	157065000	157125000	10000.0
9	100230000	100240000	9	100360000	100370000	255,255,0	388	120.684	124.666	136.145	164.402	3.27478786706e-72	1.31645905203e-48	3.22261468919e-48	1.77170927603e-28	10	100236000	100370000	24207.4368738
14	23240000	23250000	14	23310000	23320000	255,255,0	387	176.352	187.64	246.275	192.758	1.44606401458e-28	2.08730879993e-28	0.00204930121577	5.04896443635e-13	5	23247000	23321000	16124.5154966
13	100030000	100040000	13	100080000	100090000	255,255,0	387	170.722	146.045	157.718	180.22	1.44606401458e-28	2.97470679011e-48	4.18195086264e-28	3.26925726994e-28	3	100028333	100081666	7453.559925
6	36590000	36600000	6	36640000	36650000	255,255,0	387	165.543	167.725	191.305	172.077	1.44606401458e-28	2.08730879993e-28	4.18195086264e-28	3.26925726994e-28	5	36587000	36649000	12649.1106407
1	9190000	9200000	1	9250000	9260000	255,255,0	387	197.027	215.072	249.104	240.384	1.84837023783e-13	3.75763198288e-13	0.00204930121577	5.04896443635e-13	5	9179000	9257000	16124.5154966
11	68020000	68030000	11	68070000	68080000	255,255,0	386	165.87	179.426	177.888	183.938	2.6401231058e-28	3.80553335843e-28	7.80597075641e-28	6.13276009312e-28	2	68020000	68070000	7071.06781187
16	50710000	50720000	16	50770000	50780000	255,255,0	385	220.353	207.499	229.951	233.11	4.08205219994e-13	8.38712740408e-13	1.04796818723e-12	1.08952335981e-12	7	50715000	50777857	12857.1428571
10	97990000	98000000	10	98050000	98060000	255,255,0	385	173.067	171.08	210.598	196.555	4.88599748261e-28	7.03669527515e-28	1.04796818723e-12	1.08952335981e-12	7	97990714	98056428	15779.0871674
1	31270000	31280000	1	31380000	31390000	255,255,0	385	105.296	107.427	142.685	136.428	8.17666071386e-71	1.40838877583e-70	3.95092329464e-47	5.5990458177e-47	15	31270333	31386333	21837.7858055
4	6260000	6270000	4	6320000	6330000	255,255,0	384	148.108	158.314	172.826	187.737	5.18666580989e-47	1.31774061284e-27	2.70297057455e-27	2.14355959606e-27	9	6258333	6326111	16703.6626426
3	50600000	50610000	3	50650000	50660000	255,255,0	383	214.34	189.25	208.371	200.487	8.93841292682e-13	2.42718234952e-27	2.33468948373e-12	2.42188515941e-12	1	50605000	50655000	0
2	68590000	68600000	2	68650000	68660000	255,255,0	383	197.379	185.022	183.218	223.318	8.93841292682e-13	2.42718234952e-27	5.01398492313e-27	2.42188515941e-12	10	68598000	68664000	19235.3840617
22	23520000	23530000	22	23610000	23620000	255,255,0	382	145.254	163.336	201.02	191.389	2.81598847232e-46	4.46269463278e-27	3.47204935346e-12	7.55009738053e-27	10	23517000	23625000	18000.0
7	8160000	8170000	7	8210000	8220000	255,255,0	382	195.06	194.587	183.005	213.258	1.31002533088e-12	2.78897597972e-12	9.09167867805e-27	3.59786572899e-12	5	8163000	8221000	12649.1106407
12	52420000	52430000	12	52470000	52480000	255,255,0	381	189.285	188.592	225.054	186.244	6.1839972691e-27	8.30084484225e-27	5.15088387026e-12	1.3998686888e-26	2	52420000	52475000	5000.0
17	71250000	71260000	17	71360000	71370000	255,255,0	380	91.7358	86.8273	117.469	103.142	4.25476848646e-94	1.39488864006e-94	4.5703286857e-68	3.29406074952e-68	9	71251666	71363888	16703.6626426
14	22950000	22960000	14	23010000	23020000	255,255,0	380	198.681	188.828	201.154	230.153	2.83179346491e-12	1.52000938042e-26	7.46229338812e-12	7.79100056191e-12	4	22960000	23020000	7071.06781187
12	57510000	57520000	12	57570000	57580000	255,255,0	380	186.065	182.362	188.318	201.473	1.14683512482e-26	1.52000938042e-26	3.09748927963e-26	7.79100056191e-12	5	57519000	57577000	12649.1106407
5	150430000	150440000	5	150480000	150490000	255,255,0	380	237.073	215.684	226.298	233.983	2.83179346491e-12	6.16698992315e-12	7.46229338812e-12	7.79100056191e-12	4	150430000	150495000	11180.3398875
19	920000	930000	19	980000	990000	255,255,0	378	145.34	131.206	147.544	151.313	7.49050892114e-45	6.64635754183e-45	1.58179526566e-44	1.89880018488e-44	4	927500	985000	10307.764064
19	10370000	10380000	19	10490000	10500000	255,255,0	378	116.339	101.234	120.71	128.231	1.58158491242e-67	2.24746553173e-67	3.35678828569e-67	1.89880018488e-44	9	10378333	10500555	17249.0829958
16	85850000	85860000	16	86020000	86030000	255,255,0	378	132.676	136.089	203.648	145.947	7.49050892114e-45	6.64635754183e-45	1.60643850159e-11	1.89880018488e-44	11	85856818	86039545	24612.7024921
19	17970000	17980000	19	18040000	18050000	255,255,0	377	139.393	129.065	137.068	141.925	1.69628984433e-44	1.51751239706e-44	3.51926669126e-44	4.18055118661e-44	6	17976666	18043333	11785.1130198
18	56200000	56210000	18	56320000	56330000	255,255,0	376	138.444	134.437	177.048	141.496	3.58868254771e-44	3.19899381393e-44	3.50027211911e-25	8.70401570599e-44	12	56210000	56331666	27738.8616285
17	72370000	72380000	17	72450000	72460000	255,255,0	376	133.883	145.673	186.153	142.683	3.58868254771e-44	3.19899381393e-44	3.50027211911e-25	8.70401570599e-44	8	72370000	72465000	30413.8126515
